TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
31/01/2025,0,0,0,0,0,0,0,ASEAN
31/01/2025,26,679,361,343,0,0,0,ALITAPTAP
1/2/2025,776,1544,1104,1216,0,0,0,PSL
1/2/2025,145,178,164,160,0,0,0,PRG
1/2/2025,564,3089,1715,1938,0,0,0,PR
1/2/2025,0,0,0,0,0,0,0,PLAZUELA
1/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
1/2/2025,10,173,89,93,0,0,0,MDI
1/2/2025,0,0,0,0,0,0,0,RIVERWALK
1/2/2025,191,289,231,250,0,0,0,CM
1/2/2025,59,329,179,209,0,0,0,CDT
1/2/2025,131,188,155,164,0,0,0,BSD
1/2/2025,0,0,0,0,0,0,0,ASEAN
1/2/2025,13,948,544,418,0,0,0,ALITAPTAP
1/2/2025,521,3975,2271,2226,0,0,0,FS
2/2/2025,776,1544,1104,1216,0,0,0,PSL
2/2/2025,145,178,164,160,0,0,0,PRG
2/2/2025,564,3089,1715,1938,0,0,0,PR
2/2/2025,0,0,0,0,0,0,0,PLAZUELA
2/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
2/2/2025,10,172,89,93,0,0,0,MDI
2/2/2025,0,0,0,0,0,0,0,RIVERWALK
2/2/2025,191,289,231,250,0,0,0,CM
2/2/2025,59,329,179,209,0,0,0,CDT
2/2/2025,131,188,155,164,0,0,0,BSD
2/2/2025,0,0,0,0,0,0,0,ASEAN
2/2/2025,13,948,544,418,0,0,0,ALITAPTAP
2/2/2025,521,3975,2271,2226,0,0,0,FS
3/2/2025,0,0,0,0,0,0,0,RIVERWALK
3/2/2025,776,1544,1104,1216,0,0,0,PSL
3/2/2025,145,178,164,160,0,0,0,PRG
3/2/2025,564,3089,1714,1938,0,0,0,PR
3/2/2025,0,0,0,0,0,0,0,PLAZUELA
3/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
3/2/2025,10,172,89,93,0,0,0,MDI
3/2/2025,191,289,231,250,0,0,0,CM
3/2/2025,59,329,179,209,0,0,0,CDT
3/2/2025,131,187,155,164,0,0,0,BSD
3/2/2025,0,0,0,0,0,0,0,ASEAN
3/2/2025,13,948,544,418,0,0,0,ALITAPTAP
3/2/2025,521,3975,2271,2226,0,0,0,FS
4/2/2025,0,0,0,0,0,0,0,PLAZUELA
4/2/2025,0,0,0,0,0,0,0,RIVERWALK
4/2/2025,776,1544,1104,1216,0,0,0,PSL
4/2/2025,145,178,164,160,0,0,0,PRG
4/2/2025,564,3089,1714,1938,0,0,0,PR
4/2/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
4/2/2025,131,187,155,164,0,0,0,BSD
